Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;Ja;Ja_Proz;Nein;Nein_Proz
010;01 Bonn-Zentrum;1;1;8287;3179;38,36;;3169;;10;1543;48,69;1626;51,31
020;02 Bonn-Castell / Rheindorf-Süd;1;1;6818;2748;40,31;;2741;;7;1746;63,7;995;36,3
030;03 Innere Nordstadt;1;1;8039;3461;43,05;;3457;;4;2542;73,53;915;26,47
040;04 Baumschulviertel / Südstadt;1;1;7892;3836;48,61;;3829;;7;1893;49,44;1936;50,56
050;05 Neu-Tannenbusch / Buschdorf;1;1;7174;2300;32,06;;2298;;2;1069;46,52;1229;53,48
060;06 Auerberg / Graurheindorf;1;1;8223;2731;33,21;;2727;;4;1426;52,29;1301;47,71
070;07 Tannenbusch;1;1;6515;1622;24,9;;1620;;2;770;47,53;850;52,47
080;08 Dransdorf / Lessenich / Meßdorf;1;1;6748;2417;35,82;;2410;;7;1125;46,68;1285;53,32
090;09 Endenich I;1;1;6114;2528;41,35;;2524;;4;1255;49,72;1269;50,28
100;10 Poppelsdorf;1;1;6763;2959;43,75;;2954;;5;1447;48,98;1507;51,02
110;11 Kessenich;1;1;8210;4211;51,29;;4201;;10;1452;34,56;2749;65,44
120;12 Dottendorf / Gronau;1;1;7777;4561;58,65;;4550;;11;1429;31,41;3121;68,59
130;13 Äußere Nordstadt;1;1;6291;2593;41,22;;2590;;3;1794;69,27;796;30,73
140;14 Endenich II;1;1;6612;2683;40,58;;2678;;5;1244;46,45;1434;53,55
150;15 Venusberg / Ippendorf;1;1;6888;3362;48,81;;3356;;6;1453;43,3;1903;56,7
160;16 Röttgen / Ückesdorf;1;1;6295;3034;48,2;;3031;;3;1255;41,41;1776;58,59
210;21 Friesdorf;1;1;6370;3546;55,67;;3409;;137;1551;45,5;1858;54,5
220;22 Villenviertel / Rüngsdorf;1;1;8294;4125;49,73;;4117;;8;2709;65,8;1408;34,2
230;23 Plittersdorf / Hochkreuz;1;1;9140;4277;46,79;;4273;;4;2357;55,16;1916;44,84
240;24 Bad Godesberg-Mitte;1;1;7534;3424;45,45;;3421;;3;2289;66,91;1132;33,09
250;25 Heiderhof / Muffendorf;1;1;6145;3168;51,55;;3159;;9;2296;72,68;863;27,32
260;26 Pennenfeld / Lannesdorf;1;1;8107;3610;44,53;;3604;;6;2527;70,12;1077;29,88
270;27 Mehlem;1;1;8400;3388;40,33;;3382;;6;2311;68,33;1071;31,67
310;31 Beuel-Zentrum;1;1;6299;2389;37,93;;2383;;6;1322;55,48;1061;44,52
320;32Schwarzrheindorf/Vilich-Rheindorf/Combahnviertel;1;1;7103;3269;46,02;;3262;;7;1899;58,22;1363;41,78
330;33 Pützchen / Bechlinghoven / Holtorf / Ungarten;1;1;6085;2439;40,08;;2438;;1;1208;49,55;1230;50,45
340;34 Beuel-Süd / Limperich;1;1;8284;3681;44,44;;3677;;4;1768;48,08;1909;51,92
350;35 Holzlar / Hoholz;1;1;8343;3128;37,49;;3127;;1;1499;47,94;1628;52,06
360;36 Küdinghoven / Ramersdorf / Oberkassel;1;1;9364;4137;44,18;;4131;;6;1873;45,34;2258;54,66
370;37 Vilich / Geislar / Vilich-Müldorf;1;1;8098;3418;42,21;;3411;;7;1577;46,23;1834;53,77
410;41 Lengsdorf / Brüser Berg;1;1;8318;3445;41,42;;3441;;4;1510;43,88;1931;56,12
420;42 Duisdorf / Finkenhof / Lengsdorf;1;1;8917;3489;39,13;;3486;;3;1487;42,66;1999;57,34
430;43 Duisdorf / Medinghoven;1;1;7990;2912;36,45;;2909;;3;1306;44,9;1603;55,1
